datetime	Q_Res_R	Q_Res_S
2018-01-30	7.320331128182618	7.4938671265100965
2018-01-31	7.288560026455027	7.3782921149382705
2018-02-01	7.103674779279279	7.1386453918603605
2018-02-02	6.975489808306709	7.012699168705614
2018-02-03	6.975489808306709	7.012699168705614
2018-02-04	6.975489808306709	7.012699168705614
2018-02-05	6.975489808306709	7.012699168705614
2018-02-06	6.975489808306709	7.012699168705614
2018-02-07	6.975489808306709	7.012699168705614
2018-02-08	6.975489808306709	7.012699168705614
2018-02-09	6.975489808306709	7.012699168705614
2018-02-10	6.975489808306709	7.012699168705614
2018-02-11	6.975489808306709	7.012699168705614
2018-02-12	6.975489808306709	7.012699168705614
2018-02-13	6.975489808306709	7.012699168705614
2018-02-14	6.975489808306709	7.012699168705614
2018-02-15	6.975489808306709	7.012699168705614
2018-02-16	6.975489808306709	7.012699168705614
2018-02-17	6.975489808306709	7.012699168705614
2018-02-18	6.975489808306709	7.012699168705614
2018-02-19	6.959898570772059	6.963887365526654
2018-02-20	6.957715807799444	6.940365686827762
2018-02-21	6.970866762218045	6.963605142132049
2018-02-22	6.903695180201827	6.857914032887554
2018-02-23	6.827167317312409	6.763612858636587
2018-02-24	6.719530788548468	6.651023315796586
2018-02-25	6.642964843026248	6.591089532757076
2018-02-26	6.5854136742224565	6.49466131544017
2018-02-27	6.5559404056246615	6.431516430134667
2018-02-28	6.456314480843976	6.352853487648529
2018-03-01	6.414289589509693	6.294652223489168
2018-03-02	6.42945947831184	6.310562719812427
2018-03-03	6.4420170265379975	6.26732810615199
2018-03-04	6.440268863354036	6.2018260869565225
2018-03-05	6.453041523687581	6.201504481434059
2018-03-06	6.495588236459709	6.228890356671069
2018-03-07	6.535545368349249	6.260961800818554
2018-03-08	6.576552235543018	6.292489421720734
2018-03-09	6.552142291970802	6.263824817518248
2018-03-10	6.585027057488655	6.300393343419061
2018-03-11	6.6417363657770805	6.355863422291994
2018-03-12	6.7056219086460045	6.398507340946166
2018-03-13	6.78320136672326	6.430246179966044
2018-03-14	6.8427278053097345	6.461309734513275
2018-03-15	6.848253835489834	6.517347504621072
2018-03-16	6.890953994197292	6.581489361702128
2018-03-17	6.874344851190476	6.575813492063492
2018-03-18	6.874344851190476	6.575813492063492
2018-03-19	6.874344851190476	6.575813492063492
2018-03-20	6.851343678278688	6.567192622950819
2018-03-21	6.815721553701772	6.5642440041710115
2018-03-22	6.682349762931034	6.379806034482758
2018-03-23	6.601060477272728	6.353534090909091
2018-03-24	6.549775095923261	6.286282973621104
2018-03-25	6.494736488549618	6.326908396946566
2018-03-26	6.274050379403793	6.281314363143631
2018-03-27	6.092550014492754	6.30131884057971
2018-03-28	5.971593738317757	6.260903426791277
2018-03-29	5.921997356902358	6.242087542087543
2018-03-30	5.870298534798534	6.151611721611721
2018-03-31	5.787439277108433	6.074979919678715
2018-04-01	5.804069022222223	6.127355555555557
2018-04-02	5.870700223880597	6.263084577114428
2018-04-03	5.966122005649718	6.437683615819209
2018-04-04	6.073137287581699	6.65718954248366
2018-04-05	6.032137364341085	6.837984496124031
2018-04-06	6.032296428571428	6.665714285714286
2018-04-07	5.937319012345679	6.200061728395062
2018-04-08	5.625093684210526	5.886403508771932
2018-04-09	5.333612121212121	5.708939393939393
2018-04-10	5.587404444444444	5.540555555555555
2018-04-11	8.505485	9.44
2018-04-12		
2018-04-13		
